Site_ID,Site_Name,Latitude,Longitude
643,Shawbury,52.7943,-2.66329
235,Leuchars,56.3774,-2.86051
1450,Aldergrove,54.6636,-6.22436
708,Heathrow,51.4787,-0.44904
613,Benson,51.6199,-1.09712
315,Boulmer,55.4208,-1.59966
709,Northolt,51.5481,-0.41534
1090,Blackpool,53.7746,-3.03647
1135,Ringway,53.3559,-2.27949
384,Waddington,53.1751,-0.52173
1144,Hawarden Airport,53.1752,-2.98499
4,Sumburgh,59.8793,-1.29736
409,Marham,52.651,0.56772
79,Tain Range,57.8191,-3.96524
842,Hurn,50.7789,-1.83483
1226,Pembrey Sands,51.7144,-4.36632
908,Machrihanish,55.4408,-5.69571
1302,Yeovilton,51.0059,-2.64148
161,Dyce,57.2051,-2.2037
971,Abbotsinch,55.8695,-4.42948
